location_name,review_count,is_closed,price,rating
Arancini Bros,54,False,1.0,4.0
Arang,187,True,2.0,3.5
Arata Sushi,26,True,2.0,4.0
Arba,40,True,,4.0
Arbor Bistro,145,False,2.0,3.5
Arcane,144,True,2.0,4.0
Archer & Goat,151,False,2.0,4.5
Arco Cafe,323,False,2.0,4.5
Arepa Factory,262,True,1.0,3.75
Arepitas,8,False,,4.5
Areppas,210,True,1.0,3.5
Areppas Flatiorn Gramercy,65,False,2.0,3.5
Aretsky's Patroon,248,False,3.0,4.0
Argo Tea,35,False,2.0,2.5
Aria Wine Bar,656,True,2.0,3.5
Ariana,32,True,3.0,4.5
Ariana Kebab House,1,False,,5.0
Ariccia,13,True,,5.0
Ariel's Latin Bistro,290,True,2.0,3.0
Arirang Korean Restaurant,358,True,2.0,4.0
Aristocratic Deli,9,True,,3.0
Arno Ristorante,239,False,3.0,3.5
Aroma Kitchen & Winebar,276,True,3.0,4.0
Aroma Trattoria,75,True,2.0,4.5
Arome Deli & Pizzeria,31,True,1.0,3.0
Aroy Dee Thai Kitchen,450,False,2.0,3.5
Arpeggio Food & Wine,20,True,3.0,2.5
Arriba Arriba Midtown,975,False,2.0,3.5
Art Bird & Whiskey Bar,128,False,2.0,3.0
Art Bird Express,4,False,,5.0
Arte Cafe,688,False,2.0,3.0
Arte Restaurant,104,False,3.0,3.5
Artichoke Basille's Pizza,1,False,,4.0
Artichoke Pizza,6781,False,1.0,3.6
Artie's Delicatessen,365,True,2.0,3.0
Artisanal Fromagerie Bistro,941,True,3.0,3.5
Artisans' Gate,21,True,,4.0
Artiserie Sandwich Boutique,79,True,2.0,4.0
Artistic Pizza,88,False,,4.5
Arturo's,819,False,2.0,4.0
Arturo's Pizza,156,False,1.0,3.5
Asaka Sushi,4,False,2.0,2.0
Asami Shanghai,23,True,2.0,3.0
Ashford & Simpson's Sugar Bar,196,False,2.0,3.5
Ashiya Sushi,87,True,2.0,2.5
Ashiya Sushi 5,44,True,2.0,3.0
Ashoka Indian Restaurant,313,False,2.0,4.5
Ashoka on 2nd Avenue,210,True,2.0,4.5
Ashton's Alley,172,True,2.0,3.0
Asia Bites,1,True,,1.0
Asia Express,66,True,1.0,3.0
Asia Grill Express,57,True,2.0,2.0
Asia Roma,69,False,2.0,3.0
Asia de Cuba,222,True,3.0,3.5
Asiam Thai Cuisine,212,True,2.0,3.5
Asian 59,92,True,1.0,3.5
Asian 83,37,False,,3.0
Asian Express,28,True,1.0,1.75
Asian Spicy Curry Pop up,143,True,1.0,4.5
Asian Station,69,True,2.0,2.5
Asian Taste,22,False,,4.0
Asian Wok,42,False,1.0,2.0
Asiate,559,True,4.0,4.0
Asset,100,False,,4.0
Assinie,1,False,,5.0
Astor Row Cafe,186,True,1.0,3.5
Asuka Asian Cuisine,2,False,,3.0
Asuka Sushi,1046,False,2.0,4.0
Asura Asian Bistro,307,True,2.0,3.5
At Nine Restaurant & Bar,564,False,2.0,4.0
At Thai,214,True,2.0,4.0
At the Wallace,215,False,2.0,4.0
Atami Japanese Fusion,161,False,2.0,4.0
Atera,310,False,4.0,4.5
Atla,347,False,2.0,3.5
Atlas Kitchen,157,False,2.0,4.0
Ato,87,True,4.0,4.0
Atoboy,506,False,4.0,4.5
Atomic Wings,446,False,2.0,2.25
Atomic Wings Upper East,45,True,2.0,2.5
Atomix,109,False,4.0,4.5
Atrio Wine Bar & Restaurant,106,False,3.0,3.5
Atto Prime Meats and Seafood,12,False,,3.0
Attraversa,62,True,3.0,4.0
Attraversa West Village,29,False,,3.5
Atwood,33,True,,4.0
Au Cheval Diner,625,False,3.0,4.5
Au Jus,349,False,1.0,3.8333333333333335
Au Za'atar,193,False,,4.5
Auden Bistro & Bar,29,False,3.0,3.5
Augurs Well,119,False,2.0,4.0
August,499,False,3.0,3.5
August Gatherings,301,False,3.0,3.5
Augustine,246,True,3.0,4.0
Aunt Jake's,2056,False,2.0,4.166666666666667
Auntie Guan's Kitchen,135,True,1.0,3.5
Auntie Guan's Kitchen 108,368,False,2.0,4.0
Aureole,903,True,3.0,4.0
Auriga Cafe,18,True,,4.5
Aurora Soho,509,False,3.0,4.0
Automatic Slims,98,False,2.0,3.5
Autre Kyo Ya,88,True,3.0,4.0
Aux Epices,316,True,2.0,4.0
Aux Merveilleux De Fred,423,False,2.0,4.5
Avant Garden,394,False,3.0,4.5
Avanti's Pizza,24,False,,2.5
Avena,134,True,3.0,4.5
Avena Downtown,102,False,3.0,4.5
Avena UES,34,False,,4.0
Avenida Cantina,234,True,2.0,3.5
Avenue C Restaurant,23,False,,5.0
Avenue Diner,22,True,2.0,2.5
Avocado man,1,False,,1.0
Avra Estiatorio,958,False,3.0,4.0
Avra Madison,384,False,4.0,4.0
Awadh,339,True,2.0,3.5
Awash Ethiopian Restaurant,865,False,2.0,4.0
Awesum Dimsum,419,False,2.0,4.5
Awesum Dimsum Time Square,103,False,2.0,4.5
Ayurveda Cafe,351,True,2.0,4.0
Azal's Deli,1,False,1.0,3.0
Azalea Ristorante,309,False,3.0,4.0
Azasu,127,True,2.0,4.0
Azoza Sushi,2,False,,2.5
Azuki Japanese Restaurant,171,False,2.0,3.0
Azuki Sushi and Chinese,2,False,,1.0
Azumma,14,True,,3.5
Azure Pizzeria,35,True,1.0,3.5
Azuri Cafe,278,True,2.0,4.0
Azusa of Japan,111,True,2.0,3.0
B & W Deli & Pizzeria,39,False,1.0,3.0
B B King Blues Club & Grill,660,True,2.0,3.0
B Bar & Grill,739,True,2.0,3.0
B Cafe East,458,False,2.0,4.0
B Flat,363,True,2.0,4.0
B Side Pizza & Wine Bar,1226,False,2.0,4.5
B Squared,439,True,2.0,4.5
B&B Restaurant Corporation,167,False,1.0,4.5
B&h,517,False,1.0,4.5
B'artusi,20,False,,4.5
B2 Harlem,301,False,2.0,4.0
BARO by Chefs Society,182,False,2.0,3.5
BCD Tofu House,2254,False,2.0,4.0
BD Famous Pizza,5,False,,4.0
BEANS Chicken,16,False,1.0,2.5
BFB Highline,22,True,2.0,3.5
BG Restaurant,432,False,3.0,4.0
BH Kitchen & Bar,147,True,2.0,4.0
BKK Eatery,131,False,2.0,4.5
BLT Burger,318,True,2.0,3.5
BLT Fish Shack,132,True,3.0,3.0
BLT Market,60,True,4.0,3.5
BLT Prime,843,False,4.0,3.75
BLT Steak,440,False,4.0,4.0
BONMi,176,False,2.0,3.0
BTH Restaurant & Lounge,156,True,2.0,3.0
BV's Grill,28,True,3.0,3.5
BXL Cafe,535,False,2.0,3.5
BXL Zoute,434,False,2.0,4.0
Ba'al Cafe & Falafel,304,False,1.0,4.5
Baazi,40,False,,4.0
Bab Marrakech,22,True,1.0,3.5
Baba Ghanouge,31,True,1.0,3.0
Babbalucci,448,False,2.0,4.0
Babbo,2520,False,4.0,4.0
Babs,61,False,,3.5
Babu Ji,226,True,2.0,3.5
Baburchi,87,True,2.0,3.5
Babushkas Russian Dumplings,2,False,,3.0
Baby Bo's Cantina,672,False,2.0,4.0
Baby Brasa,1000,False,2.0,3.75
Babylon Soho,17,True,3.0,3.0
Bacchanal,79,True,2.0,4.0
Bacchanal Sauce,2,False,,2.0
Back Forty,413,True,2.0,3.5
Back Forty West,205,True,2.0,3.0
Backstage Eatery,1,False,1.0,4.0
Backyard Smokehouse,4,False,,4.0
Bad Burger,204,True,2.0,3.0
Bad Horse Pizza,216,True,2.0,3.5
Badshah,329,True,2.0,4.0
Bagatelle New York,733,True,3.0,3.5
Bagel Deluxe & Cafe,10,True,1.0,5.0
Bago,47,True,1.0,4.0
Bait & Hook,458,False,2.0,3.5
Baji Baji,49,False,,4.5
Bakare Restaurant Lounge,7,True,2.0,3.0
Bakehouse Bistro & Bar,186,True,2.0,4.0
Baker & Co,695,False,2.0,4.0
Baker Street Pub,232,False,2.0,3.5
Baker's Pizza,239,True,1.0,4.5
Balaboosta,631,False,3.0,4.0
Balade,819,False,2.0,4.0
Bali Kitchen,142,True,2.0,4.5
Bali Nusa Indah,283,True,2.0,3.5
Ballaro Vino e Sveltine,163,True,2.0,4.0
Balon Wine Bar & Bistro,136,True,2.0,3.5
Balthazar Restaurant,3372,False,3.0,4.0
Baluchi's,217,True,2.0,3.0
Baluchi's Tribeca,146,True,2.0,3.0
Baluchis,59,True,2.0,3.0
Balvanera,291,False,3.0,4.5
Balzem,487,False,3.0,4.0
Bamboleo,246,True,2.0,3.0
Bamboo House,2,False,,2.5
Bamboo Restaurant,10,False,1.0,2.5
Bamboo Village,14,True,2.0,3.5
BambooTori,105,True,1.0,4.0
Bamiyan,181,True,2.0,3.5
Bang Chengdu Street Kitchen,173,True,1.0,4.0
Bangal Curry,42,True,1.0,3.5
Bangklyn East Harlem,146,False,2.0,4.5
Bangkok 2 Thai,214,False,2.0,4.0
Bangkok BAR NYC,56,True,2.0,2.5
Bangkok Cuisine Upper East Side,288,True,2.0,4.0
Bangkok Grand Palace,32,True,2.0,2.5
Bangkok House,195,True,2.0,3.5
Banh,156,False,2.0,4.5
Banh Mi Cart,137,False,1.0,3.5
Banh Mi Co Ut,93,False,1.0,4.0
Banh Mi Saigon,1573,False,1.0,4.0
Banhmigos,74,False,,4.5
Banjara,224,True,2.0,3.5
